id,fiscalyear,Climate change,Climate adaptation,Climate mitigation,text,pred,pred_a,pred_m
P176769,2024,0.67,0.14,0.53,"Inclusive Development through Electricity Access The PDO is to: (a) improve the reliability of electricity supply in project areas; (b) increase access to electricity services in project areas; and (c) improve the commercial performance of the distribution company CEET. The development objective of Inclusive Development Through Electricity Access Project for Togo is to: (a) improve the reliability of electricity supply in project areas; (b) increase access to electricity services in project areas; and (c) improve the commercial performance of the distribution company CEET. This project has three components. 1) The first component, Construction of climate-resilient transmission lines, will finance (a) the construction of the top priority transmission line in the masterplan, a 161 kV HV line between Davié, Notsé, Kpalimé, and Atakpamé (DANOKA). 2) The second component, Electricity access expansion through grid and off-grid solutions in rural and urban areas, has the following sub-components: (i) Grid extension and densification in urban and peri-urban areas; (ii) Extension of the electricity grid in rural areas; and (iii) Financing of grid and off-grid electricity access costs. 3) The third component, Institutional capacity building, utility performance improvement and project implementation support, has the following sub-components: (i) Utility operational improvement; and (ii) Institutional strengthening, technical assistance, and project implementation support.",0.4098144,0.13218117,0.27075326
P173855,2020,0.0,0.0,0.0,"Rwanda COVID-19 Emergency Response Project To prevent, detect and respond to the threat posed by COVID-19 and strengthen national systems for public health preparedness in the Republic of Rwanda, and provide immediate and effective response in the case of an eligible crisis or emergency The purpose of the COVID-19 (Coronavirus) Emergency Response Project in Rwanda is to prevent, detect and respond to the threat posed by COVID-19 (Coronavirus) and strengthen national systems for public health preparedness. This project consists of four components. Component one will support the government to enhance disease surveillance, improve sample collection and ensure rapid laboratory confirmed diagnoses to promptly detect all potential COVID-19 (Coronavirus) cases and to carry out contact tracing to quickly contain COVID-19 (Coronavirus). Component two will fund the reinforcement of public health policies and measures and the establishment of critical clinical care capacity at a network of public sector district hospitals, promoting digital solutions to be explored during implementation. Component three will support program coordination, management and monitoring; operational support and logistics; and project management. Finally, component four will provide support for future emergency responses.",0.045512058,0.0054511507,-0.011623669
P161540,2019,0.94,0.86,0.08,"Maritime Investment in Climate Resilient Operations To improve the climate resilience of Nanumaga harbor and Funafuti port, and in the event of an Eligible Crisis or Emergency, to provide an immediate response to the Eligible Crisis or Emergency. The development objective of the Maritime Investment in Climate Resilient Operations Project for Tuvalu is to improve the climate resilience of Nanumaga harbor and Funafuti port, and in the event of an eligible crisis or emergency, to provide an immediate response to the eligible crisis or emergency.It has four components. First component, sectoral and spatial planning tools finances spatial planning and risk-based tools for infrastructure investments to improve connectivity and climate resilience; Second component, climate resilient maritime infrastructure solutions involves the design and construction of identified priority maritime access and utility infrastructure to improve the resilience of the maritime sector to climate-related hazards and/or extreme events; Third component, strengthening the enabling environment will provide funding to support institutional and regulatory reforms, including measures to strengthen local capacity and to increase the sustainability of climate resilient maritime sector investments; Fourth component, contingency emergency response is designed to provide swift response in the event of an eligible crisis or emergency, by enabling the Government to request the Bank to re-allocate project funds to support emergency response and reconstruction.",0.8303656,0.67198765,0.13730392
P159330,2017,0.06,0.06,0.0,"Zambia: Improved Rural Connectivity Project The objectives of the Project are to: (i) improve the Recipient’s rural road accessibility for communities in selected areas; (ii) strengthen institutional capacity for sustainable management of rural roads; and (iii) respond promptly and effectively to an Eligible Crisis or Emergency. The project development of the Improved Rural Connectivity Project for Zambia are to: (i) improve the Recipient’s rural road accessibility for communities in selected areas; (ii) strengthen institutional capacity for sustainable management of rural roads; and (iii) respond promptly  and effectively to an Eligible Crisis or Emergency. There are three components for this project. The first component, improvement of feeder roads,  will support the upgrading,  rehabilitation  and  maintenance  of  priority  feeder  road  infrastructure  in  six  top  ranked  provinces i.e. Central, Eastern, Northern, Luapula, Southern and Muching a Provinces. It will finance about 4,300 km of feeder roads comprising mainly of roads improved to gravel wearing course standards.The Project  would  also  finance  road  improvement  to  low  cost  seal  standards  where  a  ten‐year  projected vehicular traffic would be in excess of 50 to 100 vehicles per day (VPD). The second component,institutional strengthening in the roads sector (US$20 million).  It has two sub-component, (i) coordination  and  implementation support  will reinforce the project coordination function, and support project implementation roles of  the  entities  concerned. (ii) Strategic institutional capacity enhancements will include  technical  services,  physical  works,  goods  and  materials  for  the  purpose  of institutional  strategic  capacity  enhancements  within  the  sector,  and  human  resources  development. The third component, contingent emergency response component will allow for rapid reallocation of project proceeds in the event of a natural or man-made disaster or crisis  that has caused or is likely to imminently cause a major adverse economic and/or social impact.",0.13035777,0.12615472,-0.034880716
P162069,2018,0.0,0.0,0.0,"Nigeria- Accelerating Nutrition Results To increase utilization of quality, cost-effective nutrition services for pregnant and lactating women, adolescent girls and children under five years of age in select areas of the Recipient's territory. The development objective of Accelerating Nutrition Results in Nigeria Project is to increase utilization of quality, cost-effective nutrition services for pregnant and lactating women, adolescent girls and children under five years of age in select areas of the Recipient's territory. This project has two components. 1) The first component, Basic Package of Nutrition Services, aims to scale up a basic package of nutrition-related interventions in twelve states. 2) The second component, Stewardship and Project Management, aims to strengthen key stewardship functions at the federal and state levels for the sustained delivery of nutrition services.",0.07822212,0.037840128,-0.013377634
P147827,2015,0.0,0.0,0.0,"LK Water Supply and Sanitation Improvement Project The development objectives of the project are to increase access to piped water services and improved sanitation in selected Districts; and to strengthen the capacity of associated institutions, and in case of an Eligible Crisis or Emergency, respond promptly and effectively to it. The development objectives of the Water Supply and Sanitation Improvement Project for Sri Lanka are to increase access to piped water services and improved sanitation in selected districts; and to strengthen the capacity of associated institutions. There are four components to the project, the first component being water supply and sanitation infrastructure. This component will finance infrastructure investments to support expansion of piped water services in urban, rural and estate areas in the above mentioned selected districts. Cost effective technical solutions will ensure that each unit of investment delivers the maximum service improvement. The second component is the institutional capacity strengthening. The project will support the detailed design and operationalization of the Department of National Community Water Supply, or DNCWS through the following activities. Institutional design and capacity strengthening of DNCWS by supporting: (a) preparation of a detailed design of the department including organizational structure, staff numbers and skill sets, job descriptions and so on; (b) offices and equipment needed to set up the department in each districts; and (c) training for staff of the department. This component will also support strengthening of other institutions required for the delivery of increased access to piped water services and improved sanitation in the selected districts. The third component is the sectoral technical assistance. The project will support technical assistance to improve sector capacity, including: preparation of a Comprehensive Water Supply and Sanitation Sector Program, in collaboration and consultation with the National Planning Department, to improve water supply and sanitation across the island. This will allow GoSL to strategically invest in the sector through a programmatic approach which can be financed by local or foreign funds. Finally, the fourth component is the project management support.",0.1760033,0.13836679,0.023864022
P154523,2016,0.0,0.0,0.0,"Technical Education Quality Improvement Project III The proposed project development objective (PDO) is 'to enhance quality and equity in participating engineering education institutes and improve the efficiency of the engineering education system in focus states'. The development objective of the Technical Education Quality Improvement Project for India is to enhance quality and equity in participating engineering education institutes and improve the efficiency of the engineering education system in focus states. The project will support two components: (a) Improving quality and equity in engineering institutes in focus states will focus on improving quality and equity in engineering education in all government and government-aided colleges and technical universities, including the ATUs, in Andaman and Nicobar Islands (a union territory [UT]), LIS, states in the North East of India, and hill states. These states and UT have been chosen to ensure equitable development of the engineering education system across the country, given their lower performance relative to well performing states (referred to as “other states” throughout).  It has three sub-components. (i) institutional development for participating institutes; (ii) widening impact through ATUs; and (iii) twinning arrangements to build capacity and improve performance of participating institutes. (b) system-level initiatives to strengthen sector governance and performance will support the Ministry of Human Resource Development (MHRD) and key apex bodies in engineering education, including the All India Council for Technical Education (AICTE) and National Board of Accreditation (NBA), to strengthen sector governance, management, accountability mechanisms and performance in the overall system of engineering education.",0.048530914,0.07937492,-0.006975781
P126454,2012,0.34,0.0,0.34,"Xinjiang Yining Urban Transport Improvement Project The Project Development Objective (PDO) is to improve transport mobility in the central area of Yining City and to provide transport accessibility in the selected new areas of the city, all in a safe, clean and efficient manner. The development objective of the Xinjiang Yining Urban Transport Improvement Project for China is to improve transport mobility in the central urban area of Yining Municipality, and to provide transport accessibility in the selected new areas of Yining Municipality, all in a safe, clean and efficient manner. There are four components to the project. The first component is urban road improvement and construction. This component includes: improvement of a total of about 30 km of selected urban roads in the existing road network; construction of a total of about 42 km new urban roads that support the urban land use development in the new city area; and; acquisition of road maintenance and auxiliary equipment. The second component is public transport infrastructure and equipment. This component includes: construction of bus infrastructure facilities; establishment of an advanced bus dispatching system and integrated circuit card system; and acquisition of clean-energy buses. The third component is traffic management and road safety. This component includes: establishment of a traffic command centre and installation of traffic enforcement equipments; acquisition of an area traffic control system along with signal upgrade and junction channelization; and improvement of corridors on Jiefang road and Ahemaitijiang road. The fourth component is institutional capacity development. This component includes; provision of technical assistance for project implementation; carrying out of a series of training and study tours; provision of technical assistance for a number of thematic studies; and provision of incremental operating costs for project management.",0.34179562,0.06291139,0.26684508
P124134,2012,0.0,0.0,0.0,"Haiti - Education for All Project - Phase II The objective of the Project is to support: (i) enrollment of students in select non-public primary schools in disadvantagedareas;(ii) student attendance in select public and non-public primary schools in disadvantaged areas; and (iii) strengthened management of the Recipient's primary education sector. The objective of the Education for All Project for Haiti is to support the strategy for rebuilding the education system through the implementation of sustainable programs to improve: (a) access, particularly of under-served populations, to primary education; (b) quality of primary education; and (c) the institutional capacity in the recipient's education sector. There are four components to the project. The first component is improving access to quality primary education. This component helps to improve the quality of the tuition waiver program; improving basic educational services in selected rural communities; and iii) strengthening the recipient's school health and nutrition program. The second component is support to teaching and learning. this component helps to Expand the number of certified teachers, including preschool teachers; and ii) improving primary school performance. The third component is institutional strengthening and governance. This component will helps to i) building the institutional capacity of Ministry of National Education and Professional Training (MENFP) to improve service delivery and overall educational governance; and ii) strengthening of public-private partnerships. The fourth component is project management, monitoring and evaluation. Strengthening MENFP's monitoring and evaluation capacity.",-0.022389118,-0.0042420113,0.010330658
P120534,2011,0.0,0.0,0.0,"Economic Management and Governance Reform Grant III The objectives are to improve public finance management; strengthen the regulatory framework in the forestry, mining and petroleum sectors; and improve the business environment. The Third Economic Management and Governance Reform Grant Program (EMGRG III) for Central African Republic (CAR) is the fourth in a series of development policy operations (DPOs) that began with the Reengagement and Institution-Building Support Program in 2006. It builds on the preceding DPOs and continues to support the implementation of CAR's poverty reduction strategy, as set out in the Poverty Reduction Strategy Paper adopted by the Government in September 2007. The operation supports the Government's efforts to mitigate the economic and poverty impact of the global economic slowdown. The EMGRG III is designed as a two-tranche operation to give the authorities the time needed to implement the proposed tranche release conditions in the context of an evolving electoral process. The reform program has been developed jointly with the Government and in close collaboration with other donors active in CAR. Also the government and other budget support donors as a group have agreed on the EMGRG III tranche release conditions. The European Union and African Development Bank intend to provide parallel external financing to help mitigate the impact of the global financial crisis and support the implementation of the government's poverty reduction strategy. The operation is consistent with the International Monetary Fund (IMF) supported program under the Extended Credit Facility (ECF).",0.023026336,0.009882808,-0.0020659212
