id,fiscalyear,Climate change,Climate adaptation,Climate mitigation,text,pred,pred_a,pred_m
P159010,2017,0.0,0.0,0.0,"STP Strengthening Growth and Fiscal Policy DPO Project Development Objective (Note: will be disclosed in the MOS)The (temporary) development objective is to support the STP government to address bottlenecks to development through growth enhancing reforms on energy, macro and fiscal management and financial markets.Board Schedule Comments The operation in the amount SDR 3.6 million (equivalent to US$5 million) is the first one in a Development Policy Financing (DPF) series of three operations for São Tomé and Príncipe (STP). The previous programmatic series was interrupted due to a breach of the International Development Association (IDA) Non-Concessional Borrowing Policy (NCBP).1 STP has addressed this problem by changing the terms of the loan it contracted with Angola to comply with the NCBP. The previous series, however, could not be resumed since more than 24 months had elapsed after Board approval of the last operation. A stand-alone development policy operation (DPO) was attempted in 2015, but a potential debt arising from a Memorandum of Understanding signed with a Chinese company prevented the World Bank from going forward. This issue has also been satisfactorily resolved. During this period, the country also signed a revised Extended Credit Facility (ECF) with the International Monetary Fund (IMF) in July 2015, which anchors the short-term fiscal consolidation efforts and includes structural benchmarks on financial stability and measures to address the fiscal imbalance coming from the energy sector. The objective of this operation is to help the Government introduce growth-enabling reforms in the financial sector, business environment, and infrastructure; generate fiscal resources and savings; and improve quality of expenditures. A key focus of government policy is to reduce the dependence on government spending and facilitate the development of alternative growth drivers. This operation will help facilitate this shift by supporting policies that are aimed to address the risks to growth both directly and indirectly. The first pillar of the operation focuses on policies aimed to deal with direct risks to growth such as inadequate frameworks for credit operations and unreliable energy supply. The second pillar brings together policies that will indirectly help mitigate risks to growth. For example, by supporting better SOE surveillance, it is expected that the management of the energy company will improve and thus reduce energy cost and increase reliability of supply.",-0.0016263267,0.004903416,-0.0014747676
P181081,2024,0.0,0.0,0.0,"Investing in Social Protection for Inclusion, Resilience, and Efficiency (INSPIRE) Project The development objective is to (i) contribute to sustaining the government's capacity to provide social support to the poor and vulnerable during the war: (ii) support the government's scale-up capacity to expand social support to the vulnerable during the war and beyond, and (iii) build a foundation for sustainable recovery by improving access to and quality of social and employment services for the poor and IDPs. The objective of the Investing in Social Protection for Inclusion, Resilience, and Efficiency (INSPIRE) Project is to: (i) contribute to the sustainable provision of social assistance to vulnerable groups, and (ii) improve the coverage and efficiency of selected social safety net programs. There is one component to the project, the first component being provision of social assistance to vulnerable groups. This component will finance the selected 29 types of social benefits envisaged by five state budget programs from January 2023 to June 2024. These benefits provide support to around 2.4 million beneficiaries (individuals), including vulnerable families and children, adults and children with disabilities and caregivers, social pensioners, socially vulnerable students, and victims of human trafficking and the Chornobyl nuclear disaster. Before Russia’s invasion of Ukraine, the GoU made notable progress in strengthening the targeting of these programs and introduced means testing as an eligibility rule for several of them. The ongoing war in Ukraine exacerbates vulnerabilities and heightened economic, social, and health risks for the beneficiaries of these programs, and most of them rely on monthly social payments as their only income source to cover basic needs. Hence, sustaining the GoU’s capacity to provide social assistance under selected programs during the war is critical, particularly given these groups’ growing vulnerability to ensure their food security and safety. The estimated budget allocated by the GoU for these types of benefits for 2023 is US1 billion dollars equivalent. The project will finance expenditures on 29 selected social benefits paid through the MoSP and PFU to eligible beneficiaries (households or individuals) in compliance with the program rules and procedures outlined in the applicable laws and regulations during the 2023 calendar year and in January to June 2024. The GoU undertakes that no project proceeds or resources may be used for defense, security, or military purposes.",-0.0041609947,0.0009770729,-0.0010973364
P175979,2023,0.26,0.14,0.11,"Second Crisis Response and Recovery in Guatemala Development Policy Loan This DPF series supports the Government’s efforts to mitigate the impacts of COVID-19 and: (i) protect and enhance the human capital of the poor and vulnerable; (ii) lay out foundations of a sustainable and green recovery; and (iii) promote public sector transparency and improve revenue administration. The development objective of the Second Crisis Response and Recovery in Guatemala Development Policy Loan for Guatemala is to supports the government’s efforts to mitigate the impacts of Coronavirus disease 2019 (COVID-19) and: (i) protect and enhance the human capital of the poor and vulnerable; (ii) lay out foundations of a sustainable and green recovery; and (iii) promote public sector transparency and improve revenue administration. This second operation extends the World Bank’s support for Guatemala’s efforts to navigate a prolonged COVID-19 crisis and pursue a build back better approach to stimulate inclusive, sustainable, and green growth and avoid a return to the pre-pandemic status quo. This operation further contributes to the World Bank Group’s institutional strategies and to the latest country partnership framework (CPF) for Guatemala and is aligned with ongoing engagement discussions to support current priorities moving forward.",0.263817,0.14463916,0.111977875
P180470,2024,0.27,0.06,0.21,"First Inclusive and Resilient Market Economy Development Policy Operation To support Uzbekistan’s transition to an inclusive and resilient market economy through: (i) creating markets; (ii) improving fiscal risk management and public procurement; and (iii) supporting social inclusion and green resilience.


 This Development Policy Operation (DPO) of US$800 million supports the Government of Uzbekistan in advancing the country’s transition to an inclusive and resilient market economy. It comprises an IBRD Loan of US$300 million and three IDA Credits: a concessional IDA Credit of US160 million dollars; a concessional IDA Shorter‐Maturity Loan (SML) Credit of US240 million dollars (US100 million dollars of which is made available through the IDA Scale‐Up Window [SUW]) 2 and a non‐ concessional IDA Credit of US100 million dollars through the IDA SUW. The proposed operation is the first in a series of two operations supporting reforms across three areas: (i) creating markets; (ii) improving fiscal risk management and public procurement; and (iii) supporting social inclusion and green resilience. Following five successive standalone operations, the shift to a programmatic DPO series reflects the maturation of the government policy and planning process. The operation is central to the World Bank Group’s (WBG) overall engagement with Uzbekistan, as outlined in the 2022-2026 Country Partnership Framework (CPF). Per IDA20 SUW-SML implementation arrangements, this program is aligned with the WBG Global Crises Response Framework (GCRF) pillar 2: protecting people and preserving jobs, GCRF pillar 3: strengthening resilience, and GCRF pillar 4: strengthening policies, institutions and investments for rebuilding better. The Asian Infrastructure Investment Bank (AIIB) and KfW Development Bank (KfW) are also expected to provide parallel financing in support of this operation.",0.26603717,0.065159455,0.2030091
P176948,2022,0.48,0.48,0.0,"Enhancing Connectivity in Northern Guinea-Bissau Project To provide efficient, safe, and climate resilient road connectivity on selected sections of the Safim-Mpak corridor in the northern part of the Recipient's territory. The development objective of the Enhancing Connectivity in Northern Guinea-Bissau Project for Guinea-Bissau is to provide efficient, safe, and climate resilient road connectivity on selected sections of the Safim-Mpak corridor in the northern part of the Recipient's territory. The project comprises of four components. The first component, transport infrastructure improvement will finance the rehabilitation and upgrade of priority road sections of the major corridor Safim-Mpak, which is the backbone of the road network in northern Guinea-Bissau and the main road connecting the country to Senegal. The second component, institutional support and capacity building will aim at reinforcing the capacity of Guinea-Bissau’s main institutions responsible for road transport. It consists of following sub-components: (i) road safety; (ii) implementation support, capacity building, and enhanced mechanisms for road maintenance; (iii) women employment in road works; and (iv) follow-up on national transport and logistics plan, including recommendations for climate change adaptation. The third component, project management will support various project management functions. The fourth component, contingent emergency response component (CERC) will draw from the uncommitted grant resources under the project from other project components to cover emergency response.",0.47682014,0.48497295,-0.0070058946
P114963,2012,0.0,0.0,0.0,"Caribbean Regional Communications Infrastructure Program The development objective of CARCIP is to increase access to regional broadband networks and advance the development of an ICT-enabled services industry in the Caribbean Region. The objective of the Caribbean Regional Communications Infrastructure Program for Latin America and the Caribbean is to increase access to regional broadband networks and advance the development of Information and Communication Technologies (ICT) enabled services industry in the Caribbean Region. The project has four components. (1) Regional connectivity infrastructure component will address the: (i) physical connectivity infrastructure including submarine cable infrastructure, terrestrial broadband backbone fiber networks and terrestrial or submarine cross-border links, leveraging government networks as needed, and national and regional Internet Exchange Points (IXPs), and (ii) enabling environment that would ensure Public Private Partnership in the ownership, management and competitive access to the infrastructure. (2) ICT-led innovation component will support activities that will leverage the regional broadband infrastructure to foster growth of the regional IT/IT Enabled Services (ITES) industry. (3) Implementation support component will support implementation, institutional and capacity building as well as monitoring and evaluation. (4) A fourth component is included in the overall program design. This component will be aimed at improving government and private sector efficiency and transparency by leveraging the regional broadband infrastructure towards the delivery of a wide variety of e-services.",-0.003382883,0.002042608,-0.004396663
P179112,2023,0.68,0.47,0.22,"Barbados Green and Resilient Recovery DPL The Development Objective of this operation is to support the Government of Barbados’s strategic reforms to promote low carbon economic development and resilience to the deepening global crises, including climate change. The development objective of the Green and Resilient Recovery Development Policy Loan (DPL) for Barbados is to support the Government of Barbados’ strategic reforms to promote low carbon economic development and resilience to the deepening global crises, including climate change. This stand-alone DPL is designed to strengthen climate resilience and low carbon economic development through the adoption of a comprehensive package of strategic policy reforms that address Barbados’ significant climate and environmental sustainability challenges. The DPL supports two core pillars reflective of the government’s priorities for resilient recovery, specifically: (i) pillar A: green and blue resilient recovery; and (ii) pillar B: low carbon and resilient infrastructure.",0.6785072,0.47927886,0.22594279
P163563,2018,0.0,0.0,0.0,"Supporting Gas Project Negotiations and Enhancing Institutional Capacities To support the government capacity to drive negotiation towards final investment decision, and lay the foundations for the gas sector’s contribution to the economy through enhanced legal and regulatory frameworks and capacity building. To support the government capacity to drive negotiation towards final investment decision, and lay the foundations for the gas sector’s contribution to the economy through enhanced legal and regulatory frameworks and capacity building. There are three components to the project, the first component being capacity building and technical support for the GTA negotiations. The activities undertaken under Component A are designed to enable the GoM to develop the institutional capacities and to acquire the third‐party expertise needed to negotiate effectively a FID on the GTA. This capacity building and technical support will enable the Government to ratify the technical, legal, fiscal, commercial and financial agreements underpinning the FID. These capacities and expertise will also be applicable for gas prospects that could be identified and appraised during the life of the project. The second component is the strengthening of the institutional and regulatory framework. The objective of this component is to assist the GoM in updating its policy and strategy for the development of the gas sector. Finally, the third component is the project management and coordination. The component will provide targeted support to the project management and coordination in the amount of US$1 million, which will be used to finance the core project execution team and operating costs that are essential for effective project implementation. This will include financing the costs associated with the recruitment of a procurement specialist, an accountant, an administrative and financial officer, as needed to build the MPEM’s procurement, financial management, M&E capacities in a sustainable manner.",0.006988766,-0.0039949534,-0.00040089525
P159382,2018,0.64,0.32,0.32,"Livestock and Fisheries Sector Development Project Increase productivity and commercialization of producers and processors in selected value chains, strengthen service delivery systems in the livestock and fisheries sectors, and respond promptly and effectively to an eligible crisis or emergency. The development objective of the Livestock and Fisheries Sector Development Project for Ethiopia is to increase productivity and commercialization of producers and processors in selected value chains, strengthen service delivery systems in the livestock and fisheries sectors, and respond promptly and effectively to an eligible crisis or emergency. The project comprises of three components. The first component, linking more productive farmers to markets will finance a program of activities aimed at increasing productivity and commercialization of producers and processors in selected value chains and targeted areas in 58 Woredas by improving their access to critical knowledge, services, inputs, equipment and productive infrastructure, and increasing their linkages with markets and value chains. It consists of following sub-components: (i) enabling sub‐projects implementation; (ii) support to subsistence farmers and unemployed youth; (iii) support to improved cooperatives; and (iv) support to specialized cooperatives and municipalities. The second component, strengthening national institutions and programs will carry out a program of activities to improve the immediate and long‐term human, organizational, and institutional capacity of Ministry of Livestock and Fisheries (MoLF) and key public and private actors and cooperatives of the livestock and fisheries sectors. It consists of following sub-components: (i) human resources and organizational capacity development; (ii) policy, planning, and coordination; (iii) sustainable animal health, extension, and advisory services; (iv) development of strategic national programs (SNPs); and (v) contingent emergency response. The third component, project coordination, monitoring and evaluation, and knowledge management will support project coordination, management, monitoring and evaluation, and learning needs. It consists of following sub-components: (i) project coordination; and (ii) monitoring, evaluation, and knowledge management.",0.61974335,0.31766036,0.32620186
P147646,2016,0.5,0.0,0.5,"Philippines Renewable Energy Development The project development objective is to catalyze private investment in renewable  energy and electrification. The project development objective of the Renewable Energy Development Project for Philippines is to catalyze private investment in renewable energy and electrification. The project has one component, Partial Credit Guarantee Fund (CTF), that will provide callable cash to an existing government facility, i.e. the Electric Cooperative Partial Credit Guarantee (ECPCG) facility. ECPCG provides credit guarantees to commercial banks in the Philippines that make term loans to electric cooperatives. The proposed project will greatly expand the capacity of the ECPCG program. ECPCG’s goal is to build the market in embedded generation, Renewable Energy (RE) projects connected at distribution voltages and selling to the local Electric Cooperative (EC), when those projects are least-cost, for the purchasing utility. Lower cost technologies will be favored, and it is anticipated that hydro and solar projects will be preferred. They will help to connect previously un-electrified enclaves, while providing loadarea generation that will help reduce distribution losses.",0.47391397,0.012870401,0.47252986
